Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
12f480e2,0.17646510341696,0,0.26910246933125,0.050276447927575,0,0.065501761264034,0.02665554043655,0,0.063599825471376,0,0.0018622258973743,0,0,0.052677874076683,0.020166990247372,0.062116016990536,0.12904496549663,0,0.050061108226764,0,0.0006,0.031911455918194,0,0.6177474519084366,0.7919518935074964
12fff07f,0.11377023079066,0,0.10660987406536,0.022791737184584,0,0,0.017892140447815,0.024361686236555,0.043291216643326,0,0.022107795475684,0,0,0.35046494765899,0,0.1221966986504,0,0.1228575354716,0,0,0,0.053656137375027,0,0.3910614259578887,0.9285982751695343
13cf1657,0.02201469248292,0.067608396006424,0.058774072722328,0.053254444261013,0,0.015008623701597,0,0.042735092621124,0.054000423344997,0,0,0.027110036635436,0,0.43315592566093,0.026165564652441,0.15435951712584,0.023374472917079,0,0.022438737867868,0,0,0,0,0.40309573520511166,0.9262609136589909
1477e0a8,0.095013822497694,0,0.12029505271579,0.099155496686555,0,0.054684054545099,0,0.034741165870246,0.034671301781268,0,0,0.062659711457348,0,0.079092246227715,0.095643055444996,0.080294440216073,0.080340801226225,0,0.14653956400549,0,0,0.0168692873255,0,0.43964878477786506,0.8978696823710186
156e6312,0.14196218907812,0,0.47093119292121,0.04149733758833,0,0.056896794753173,0,0.0052922214851671,0,0,0,0.021656218265286,0,0,0.0087237893201195,0.018256577416511,0.025522881850939,0.002346357665709,0.2050938463713,0,0,0.0018205932841408,0,0.7524334257699199,0.6600387420793242
15ba502e,0.15318764579215,0,0.44679059918245,0.052028085956331,0,0.023924776668478,0,0.024364291301815,0.011305611028849,0,0,0.022297142639294,0,0.091242425900548,0.012124772757329,0.064525069899405,0.041324587427192,0.0067802301682597,0.039668389262604,0,0,0.010436372015303,0,0.7597396099557369,0.6545658701655044
165a0e8c,0.082013221594222,0.022599692006474,0.030757013689521,0.043409026048458,0,0.16079815687684,0,0.013434421640695,0.042723042106227,0,0,0.06776622583253,0.052865082039946,0.035972986880556,0.019281664851003,0.10781942985759,0.18306986054517,0.024797891502428,0.095573769865231,0,0,0.017118514663115,0,0.38753876236162155,0.9209292139682499
16c42b24,0.12947665295944,0,0.33283754627163,0.087542850539381,0,0,0.021006211185217,0.027760605840808,0,0,0,0.013782158113544,0,0.27020903894368,0,0.067936184388159,0.0012705917811255,0.031631875248872,0.0007,0,0,0.015890079722647,0,0.6168816295335037,0.7864349522768658
173d8cb8,0.042326553335619,0,0.088592810611017,0.083176895968633,0,0.080456487621227,0.030578318315911,0,0.065000600278711,0,0,0,0,0.14920454450398,0.039513602959899,0.18086876809989,0.1066890082159,0,0.1168645236223,0,0,0.016727886466908,0.02,0.31887753988739015,0.9491692114555266
1742f583,0.14764504620974,0,0.13628293820128,0.19631267976488,0,0.007931716152061,0.059838202413041,0.025290976222802,0,0,0,0.028475294363849,0,0.15544038070143,0.061654237985828,0.086993655919764,0,0.010964933122811,0.081338977885069,0,0,0.001830961057451,0,0.38225353071783696,0.9243144625889349
17b2f230,0,0.10535065627879,0.12438742609703,0.31549535624185,0,0,0,0,0.097026465921696,0,0.01791807970443,0,0,0.20060341692863,0,0.0037220129559475,0.030841229237421,0.083504785182608,0,0,0,0.021150571451591,0.95,-0.045,1.1209087854657966
1866d49b,0.038407122775667,0.0028565516601501,0.28123498046203,0.13639320418961,0,0,0,0.04424121261749,0.048237444852533,0.0027912820283663,0,0.071925038749972,0,0.012727603444587,0.069822899270114,0.11410581829108,0.12240956115433,0.014265904825424,0.027326513063111,0,0,0.01325486261553,0,0.5396539141251492,0.8437817432208412
186b83bd,0.14474351262368,0,0.18492374131475,0.11895803380123,0,0.0089700363990408,0,0.036917299556081,0.031187585933285,0,0.053844606925842,0,0.028387961227205,0.11543418569042,0.017118085308609,0.063268958800545,0.038488306402054,0.014634434165807,0.13396445299557,0,0,0.0091587988558875,0,0.5927463611200297,0.8185139442404019
